GIS_ID	lasso_plateau_C_obs	lasso_plateau_C_est	lasso_plateau_C_residual	lasso_plateau_q95_obs	lasso_plateau_q95_est	lasso_plateau_q95_residual	lasso_plateau_Qmin_obs	lasso_plateau_Qmin_est	lasso_plateau_Qmin_residual	random_forest_alps_C_obs	random_forest_alps_C_est	random_forest_alps_C_residual	random_forest_alps_q95_obs	random_forest_alps_q95_est	random_forest_alps_q95_residual	random_forest_alps_Qmin_obs	random_forest_alps_Qmin_est	random_forest_alps_Qmin_residual	random_forest_plateau_C_obs	random_forest_plateau_C_est	random_forest_plateau_C_residual	random_forest_plateau_q95_obs	random_forest_plateau_q95_est	random_forest_plateau_q95_residual	random_forest_plateau_Qmin_obs	random_forest_plateau_Qmin_est	random_forest_plateau_Qmin_residual	sequential_alps_C_obs	sequential_alps_C_est	sequential_alps_C_residual	sequential_alps_q95_obs	sequential_alps_q95_est	sequential_alps_q95_residual	sequential_alps_Qmin_obs	sequential_alps_Qmin_est	sequential_alps_Qmin_residual	sequential_plateau_C_obs	sequential_plateau_C_est	sequential_plateau_C_residual	sequential_plateau_q95_obs	sequential_plateau_q95_est	sequential_plateau_q95_residual	sequential_plateau_Qmin_obs	sequential_plateau_Qmin_est	sequential_plateau_Qmin_residual	stepwise_alps_C_obs	stepwise_alps_C_est	stepwise_alps_C_residual	stepwise_alps_q95_obs	stepwise_alps_q95_est	stepwise_alps_q95_residual	stepwise_alps_Qmin_obs	stepwise_alps_Qmin_est	stepwise_alps_Qmin_residual	stepwise_plateau_C_obs	stepwise_plateau_C_est	stepwise_plateau_C_residual	stepwise_plateau_q95_obs	stepwise_plateau_q95_est	stepwise_plateau_q95_residual	stepwise_plateau_Qmin_obs	stepwise_plateau_Qmin_est	stepwise_plateau_Qmin_residual
29	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.369109551848	12.2790749059669	11.0900346458811	0.872340864166588	0.739248150503994	0.133092713662594	0.773618206213714	0.68372710965362	0.0898910965600942	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5293396416219	10.2291130349839	5.30022660663799	0.872340864166588	0.757810698831422	0.114530165335165	0.773618206213714	0.688944481469802	0.0846737247439119	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5293396416219	14.8665071077976	0.662832533824279	0.872340864166588	0.684079176522991	0.188261687643597	0.773618206213714	0.609296438164739	0.164321768048975	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9027898594421	10.5635978532593	1.33919200618275	1.12749826826033	0.88348592076652	0.24401234749381	1.0196273493648	0.744061774590794	0.275565574774006	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6614427174148	20.5489001246285	-3.88745740721369	1.12749826826033	0.686327716804698	0.441170551455632	1.0196273493648	0.790763224978156	0.228864124386644	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6614427174148	14.8665071077976	1.79493560961718	1.12749826826033	0.684079176522991	0.44341909173734	1.0196273493648	0.609296438164739	0.410330911200061	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.8643975063298	6.62443234011917	4.23996516621063	0.683828829182118	0.643431855884244	0.040396973297874	0.640138717379657	0.622159013398554	0.0179797039811028	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.369109551848	22.9730439042915	0.396065647556494	0.683828829182118	0.580014933174522	0.103813896007596	0.640138717379657	0.394206608140698	0.245932109238959	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.369109551848	14.8665071077976	8.50260244405038	0.683828829182118	0.684079176522991	-0.000250347340872592	0.640138717379657	0.609296438164739	0.030842279214918	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8296604034104	4.84489355098694	2.98476685242346	0.190588515728188	0.30465261555352	-0.114064099825332	0.166265304885257	0.266401009016428	-0.100135704131171	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9027898594421	10.2534954186965	1.64929444074557	0.190588515728188	0.615835076754189	-0.425246561026001	0.166265304885257	0.514581904389659	-0.348316599504402	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9027898594421	14.8665071077976	-2.96371724835552	0.190588515728188	0.684079176522991	-0.493490660794803	0.166265304885257	0.609296438164739	-0.443031133279482	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0566669552112	10.9189613089601	0.13770564625108	0.258303644048753	0.329732532774845	-0.0714288887260922	0.248478716232	0.337015338884325	-0.0885366226523252	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.8643975063298	13.0397609432333	-2.17536343690348	0.258303644048753	0.53180778372913	-0.273504139680377	0.248478716232	0.443011751086986	-0.194533034854986	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.8643975063298	14.8665071077976	-4.00210960146782	0.258303644048753	0.684079176522991	-0.425775532474238	0.248478716232	0.609296438164739	-0.360817721932739	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6594431784965	12.1950677306532	1.46437544784328	0.504725405344941	0.498107825631961	0.00661757971297988	0.4452419548512	0.421582180138482	0.0236597747127176	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8296604034104	8.55068049921662	-0.721020095806222	0.504725405344941	0.479590465052916	0.025134940292025	0.4452419548512	0.526279409323833	-0.081037454472633	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8296604034104	14.8665071077976	-7.03684670438722	0.504725405344941	0.684079176522991	-0.17935377117805	0.4452419548512	0.609296438164739	-0.164054483313539	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.10463477691445	8.4015017841827	-1.29686700726825	0.548517871541647	0.599278662606195	-0.0507607910645481	0.517447830811199	0.552161710172596	-0.0347138793613968	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0566669552112	15.6498980890785	-4.59323113386734	0.548517871541647	0.613470352999442	-0.0649524814577946	0.517447830811199	0.576115767349984	-0.0586679365387847	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0566669552112	14.8665071077976	-3.80984015258642	0.548517871541647	0.684079176522991	-0.135561304981344	0.517447830811199	0.609296438164739	-0.0918486073535399	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.00130476907317721	-0.00130476907317721	0.810174626282541	0.764023571353532	0.0461510549290088	0.7664141737536	0.703121021690762	0.0632931520628377	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6594431784965	15.928995169046	-2.26955199054949	0.810174626282541	0.856251234686368	-0.0460766084038265	0.7664141737536	0.792697403210391	-0.0262832294567913	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6594431784965	14.8665071077976	-1.20706392930112	0.810174626282541	0.684079176522991	0.12609544975955	0.7664141737536	0.609296438164739	0.157117735588861	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	8.67948095134098	9.69094760445322	-1.01146665311224	0.576679839907765	0.30765211670245	0.269027723205315	0	0.236489736218809	-0.236489736218809	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.92599946966565	7.58774970199494	-0.661750232329291	0.378507813397835	0.403167541866967	-0.0246597284691324	0.368358177175542	0.403218982604262	-0.0348608054287198	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67948095134098	11.6335779162474	-2.95409696490646	0.576679839907765	0.487087091931903	0.0895927479758622	0	0.243088375017006	-0.243088375017006	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67948095134098	11.8665677590375	-3.18708680769647	0.576679839907765	0.278219975833021	0.298459864074744	0	0.0715680113663944	-0.0715680113663944
41	6.92599946966565	9.35564225506413	-2.42964278539848	0.378507813397835	0.373114565773242	0.00539324762459292	0.2792724045312	0.276952083757702	0.00232032077349781	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.48323886848446	8.80560308991761	0.677635778566845	0.799990698976941	0.674357237307125	0.125633461669815	0.200199486466971	0.169968021841494	0.0302314646254769	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.92599946966565	12.7682568691288	-5.84225739946311	0.378507813397835	0.477756880333107	-0.0992490669352719	0.2792724045312	0.235420919086692	0.0438514854445077	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.92599946966565	11.2756955119805	-4.34969604231484	0.378507813397835	0.329333175229385	0.0491746381684501	0.2792724045312	0.118222267966815	0.161050136564385
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.7342451192148	7.17319777353737	13.5610473456774	0.826506836289318	0.750521228599479	0.0759856076898393	0.707717112280457	0.648624729448716	0.0590923828317409	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.10463477691445	7.30798458787619	-0.203349810961735	0.826506836289318	0.883624829109176	-0.0571179928198575	0.707717112280457	0.631263794585996	0.0764533176944612	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.10463477691445	14.8665071077976	-7.76187233088317	0.826506836289318	0.684079176522991	0.142427659766327	0.707717112280457	0.609296438164739	0.098420674115718	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	7.61908535584645	8.05607361368761	-0.436988257841162	0.630150093412518	0.728508857569776	-0.0983587641572581	0.479776968471771	0.566264634869014	-0.0864876663972431	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.61850456484548	8.35694440694971	-0.738439842104231	0.447727335743435	0.489137478168659	-0.0414101424252242	0.856354277895085	0.675353375117106	0.181000902777979	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.61908535584645	8.31585154932491	-0.696766193478463	0.630150093412518	0.631146089759011	-0.000995996346493278	0.479776968471771	0.626267610239058	-0.146490641767287	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.61908535584645	8.66987438415305	-1.0507890283066	0.630150093412518	0.712057880348398	-0.0819077869358803	0.479776968471771	0.577743084990208	-0.0979661165184368
